Unix,Date,Symbol,Open,High,Low,Close,Volume ZIL,Volume USDT,tradecount
1684108800000,2023-05-15,ZILUSDT,0.02382,0.02462,0.02344,0.02414,122961162.8,2967859.716965,20181
1684022400000,2023-05-14,ZILUSDT,0.02357,0.02396,0.0232,0.02383,74715689.3,1765690.035035,12100
1683936000000,2023-05-13,ZILUSDT,0.02375,0.02382,0.02316,0.02356,77461064.7,1819330.433309,14042
1683849600000,2023-05-12,ZILUSDT,0.02336,0.02376,0.02256,0.02374,167280029.7,3860572.56346,25600
1683763200000,2023-05-11,ZILUSDT,0.02448,0.02448,0.02281,0.02335,158411302.8,3739504.987432,24429
1683676800000,2023-05-10,ZILUSDT,0.02397,0.02479,0.02309,0.02449,221016231.5,5315930.251461,31558
1683590400000,2023-05-09,ZILUSDT,0.02384,0.02416,0.02341,0.02398,115394491.3,2747853.352874,17812
1683504000000,2023-05-08,ZILUSDT,0.02609,0.02623,0.02266,0.02384,368369593.7,8881469.012261,52783
1683417600000,2023-05-07,ZILUSDT,0.02638,0.02662,0.02597,0.02608,82194838.0,2162707.297687,15079
1683331200000,2023-05-06,ZILUSDT,0.02732,0.02745,0.02587,0.02639,147533729.4,3929988.381443,24626
1683244800000,2023-05-05,ZILUSDT,0.02703,0.0274,0.02636,0.02732,128899433.6,3487667.116458,20320
1683158400000,2023-05-04,ZILUSDT,0.02749,0.02754,0.0268,0.02703,96301708.9,2618791.530656,16550
1683072000000,2023-05-03,ZILUSDT,0.02721,0.0277,0.02633,0.02749,191391426.4,5145353.981446,27854
1682985600000,2023-05-02,ZILUSDT,0.02702,0.02746,0.02646,0.02721,153989147.0,4141792.049991,23782
1682899200000,2023-05-01,ZILUSDT,0.02803,0.02818,0.02645,0.02702,180666438.2,4921879.573868,32508
1682812800000,2023-04-30,ZILUSDT,0.02882,0.02897,0.028,0.02803,146155881.1,4173179.459711,22575
1682726400000,2023-04-29,ZILUSDT,0.02889,0.02925,0.02818,0.02885,146937958.9,4239669.262743,23043
1682640000000,2023-04-28,ZILUSDT,0.02922,0.02928,0.02821,0.02889,163655802.6,4714562.724133,25411
