Unix,Date,Symbol,Open,High,Low,Close,Volume WAVES,Volume USDT,tradecount
1681516800000,2023-04-15,WAVESUSDT,2.29,2.301,2.234,2.255,1934429.68,4383789.735,17741
1681430400000,2023-04-14,WAVESUSDT,2.194,2.348,2.18,2.291,3722540.71,8394261.37246,36184
1681344000000,2023-04-13,WAVESUSDT,2.133,2.204,2.111,2.193,1793749.21,3890343.92781,18212
1681257600000,2023-04-12,WAVESUSDT,2.174,2.182,2.061,2.131,2445954.33,5173733.32078,26717
1681171200000,2023-04-11,WAVESUSDT,2.186,2.212,2.164,2.175,1922442.4,4203767.66873,20452
1681084800000,2023-04-10,WAVESUSDT,2.135,2.203,2.106,2.186,2745450.09,5899978.91144,30993
1680998400000,2023-04-09,WAVESUSDT,2.148,2.177,2.087,2.136,2392618.57,5113807.25884,26326
1680912000000,2023-04-08,WAVESUSDT,2.09,2.166,2.069,2.147,1720709.78,3636279.13991,19114
1680825600000,2023-04-07,WAVESUSDT,2.1,2.115,2.058,2.089,988716.41,2058401.9313,11535
1680739200000,2023-04-06,WAVESUSDT,2.135,2.15,2.081,2.1,1575005.71,3326685.41571,18436
1680652800000,2023-04-05,WAVESUSDT,2.126,2.175,2.074,2.135,1746017.09,3726935.87599,20454
1680566400000,2023-04-04,WAVESUSDT,2.052,2.188,2.036,2.126,2709870.17,5718591.30174,28834
1680480000000,2023-04-03,WAVESUSDT,2.072,2.092,1.985,2.052,2257107.14,4612618.01185,29748
1680393600000,2023-04-02,WAVESUSDT,2.133,2.144,2.036,2.073,1527921.89,3197850.24003,19075
1680307200000,2023-04-01,WAVESUSDT,2.112,2.15,2.091,2.133,1330758.02,2820406.9708,15624
1680220800000,2023-03-31,WAVESUSDT,2.092,2.117,2.041,2.113,2044499.63,4256765.14007,22805
1680134400000,2023-03-30,WAVESUSDT,2.16,2.177,2.052,2.092,3061482.44,6458005.79769,32370
1680048000000,2023-03-29,WAVESUSDT,2.077,2.212,2.064,2.161,2783296.8,5976637.91049,27990
1679961600000,2023-03-28,WAVESUSDT,2.044,2.084,2.004,2.077,1446839.71,2955144.54682,18069
1679875200000,2023-03-27,WAVESUSDT,2.161,2.173,1.963,2.044,2544172.26,5214271.19346,27323
1679788800000,2023-03-26,WAVESUSDT,2.122,2.17,2.112,2.161,854049.3,1832888.1258,12227
1679702400000,2023-03-25,WAVESUSDT,2.141,2.153,2.092,2.122,1036579.8,2203835.73638,18207
1679616000000,2023-03-24,WAVESUSDT,2.249,2.256,2.096,2.142,1942735.51,4228342.55935,23210
1679529600000,2023-03-23,WAVESUSDT,2.206,2.27,2.156,2.25,3935239.54,8717467.96058,37779
1679443200000,2023-03-22,WAVESUSDT,2.267,2.294,2.082,2.206,3753760.19,8336124.4146,46247
1679356800000,2023-03-21,WAVESUSDT,2.182,2.274,2.117,2.266,3138192.43,6920169.58269,34302
1679270400000,2023-03-20,WAVESUSDT,2.331,2.36,2.153,2.181,2957398.82,6669267.85523,32909
1679184000000,2023-03-19,WAVESUSDT,2.254,2.381,2.235,2.329,2241548.24,5164573.62679,24542
1679097600000,2023-03-18,WAVESUSDT,2.337,2.408,2.222,2.252,2723498.75,6354215.8194,30362
1679011200000,2023-03-17,WAVESUSDT,2.169,2.344,2.132,2.337,2133691.87,4767820.11176,22465
1678924800000,2023-03-16,WAVESUSDT,2.118,2.207,2.086,2.169,1959289.03,4217709.82782,20045
1678838400000,2023-03-15,WAVESUSDT,2.346,2.385,2.064,2.119,3520618.07,7748360.40752,39410
1678752000000,2023-03-14,WAVESUSDT,2.227,2.45,2.169,2.347,4384384.49,10109214.25857,44117
1678665600000,2023-03-13,WAVESUSDT,2.103,2.274,2.052,2.227,4093829.47,8851466.89066,37992
1678579200000,2023-03-12,WAVESUSDT,1.937,2.106,1.896,2.105,2392893.21,4732752.00485,24427
1678492800000,2023-03-11,WAVESUSDT,1.97,2.017,1.849,1.938,2650625.97,5103883.78304,22589
1678406400000,2023-03-10,WAVESUSDT,1.985,1.991,1.802,1.971,3917582.38,7529878.41294,33166
1678320000000,2023-03-09,WAVESUSDT,2.122,2.205,1.929,1.985,4243234.1,8795483.89082,37259
1678233600000,2023-03-08,WAVESUSDT,2.267,2.291,2.076,2.123,2886879.27,6313606.39166,28494
1678147200000,2023-03-07,WAVESUSDT,2.335,2.372,2.206,2.268,2737520.33,6267422.1422,27486
1678060800000,2023-03-06,WAVESUSDT,2.267,2.363,2.21,2.331,2173494.24,4964890.75821,23864
1677974400000,2023-03-05,WAVESUSDT,2.267,2.352,2.239,2.267,2093845.3,4803087.80895,22709
1677888000000,2023-03-04,WAVESUSDT,2.388,2.45,2.193,2.267,3142309.57,7334345.57751,30918
1677801600000,2023-03-03,WAVESUSDT,2.565,2.568,2.17,2.388,9004024.16,21184007.65887,83720
1677715200000,2023-03-02,WAVESUSDT,2.574,2.685,2.492,2.564,4701775.57,12140832.7781,46840
1677628800000,2023-03-01,WAVESUSDT,2.469,2.578,2.426,2.575,2473087.15,6259718.00847,23863
1677542400000,2023-02-28,WAVESUSDT,2.569,2.576,2.446,2.468,1824339.5,4602556.24469,20941
1677456000000,2023-02-27,WAVESUSDT,2.596,2.641,2.494,2.568,2416726.49,6182028.36789,27037
1677369600000,2023-02-26,WAVESUSDT,2.537,2.617,2.511,2.597,1929709.03,4950458.29865,23764
1677283200000,2023-02-25,WAVESUSDT,2.581,2.616,2.431,2.536,2924721.47,7429018.32926,33848
1677196800000,2023-02-24,WAVESUSDT,2.772,2.886,2.534,2.582,4948027.55,13447240.49947,55843
1677110400000,2023-02-23,WAVESUSDT,2.819,2.86,2.701,2.772,3326625.02,9261710.7656,41292
1677024000000,2023-02-22,WAVESUSDT,2.797,2.844,2.663,2.818,5735583.62,15765363.11854,59608
1676937600000,2023-02-21,WAVESUSDT,2.991,3.058,2.722,2.795,8480083.61,24524698.19443,88312
