Unix,Date,Symbol,Open,High,Low,Close,Volume HOT,Volume USDT,tradecount
1684195200000,2023-05-16,HOTUSDT,0.00169,0.00172,0.001671,0.001708,734853997.0,1247616.726057,7379
1684108800000,2023-05-15,HOTUSDT,0.001681,0.001727,0.001653,0.00169,816741277.0,1385788.678994,8322
1684022400000,2023-05-14,HOTUSDT,0.001644,0.001689,0.001625,0.001681,711338932.0,1183546.737432,7392
1683936000000,2023-05-13,HOTUSDT,0.001654,0.001665,0.001631,0.001643,749691836.0,1234037.362059,8613
1683849600000,2023-05-12,HOTUSDT,0.001616,0.001655,0.001575,0.001654,976079137.0,1572149.663559,11529
1683763200000,2023-05-11,HOTUSDT,0.001678,0.001679,0.001581,0.001616,1087777226.0,1773993.940394,10915
1683676800000,2023-05-10,HOTUSDT,0.001645,0.001698,0.001592,0.001677,1656690692.0,2737064.450353,18633
1683590400000,2023-05-09,HOTUSDT,0.001646,0.001657,0.001623,0.001646,802520057.0,1315066.403163,9330
1683504000000,2023-05-08,HOTUSDT,0.001754,0.001767,0.001575,0.001647,1856160045.0,3083760.74213,23195
1683417600000,2023-05-07,HOTUSDT,0.001782,0.001793,0.001748,0.001755,468605244.0,831579.839457,6404
1683331200000,2023-05-06,HOTUSDT,0.001836,0.001851,0.001734,0.001783,847622677.0,1509417.197398,10364
1683244800000,2023-05-05,HOTUSDT,0.001813,0.001843,0.001784,0.001836,862082173.0,1569155.09673,11203
1683158400000,2023-05-04,HOTUSDT,0.001857,0.001859,0.001806,0.001812,644060706.0,1178965.891453,7852
1683072000000,2023-05-03,HOTUSDT,0.001837,0.001868,0.001793,0.001856,817421231.0,1491966.376928,10523
1682985600000,2023-05-02,HOTUSDT,0.001818,0.001855,0.0018,0.001836,826772990.0,1507807.348623,9734
1682899200000,2023-05-01,HOTUSDT,0.001859,0.001872,0.001793,0.001819,1200288155.0,2188806.720039,15270
1682812800000,2023-04-30,HOTUSDT,0.001896,0.00191,0.001852,0.001859,760431915.0,1430719.513995,9937
1682726400000,2023-04-29,HOTUSDT,0.001901,0.00192,0.001884,0.001895,739834977.0,1408919.589561,9137
1682640000000,2023-04-28,HOTUSDT,0.001929,0.001936,0.001875,0.001902,974468766.0,1857667.773468,11373
1682553600000,2023-04-27,HOTUSDT,0.001874,0.001951,0.00187,0.00193,1309411329.0,2507764.692969,15094
1682467200000,2023-04-26,HOTUSDT,0.001908,0.00197,0.001783,0.001875,1729024096.0,3271861.901806,18108
1682380800000,2023-04-25,HOTUSDT,0.001844,0.001913,0.001823,0.001908,1127068332.0,2087913.363774,11694
1682294400000,2023-04-24,HOTUSDT,0.00183,0.001871,0.001802,0.001844,1235662344.0,2265027.045627,12425
1682208000000,2023-04-23,HOTUSDT,0.001851,0.001871,0.001784,0.001829,1202209679.0,2204697.780388,11652
1682121600000,2023-04-22,HOTUSDT,0.001821,0.001859,0.001813,0.001849,1405171265.0,2584203.158975,11504
1682035200000,2023-04-21,HOTUSDT,0.001953,0.001966,0.001795,0.00182,2296927059.0,4333707.034788,23064
1681948800000,2023-04-20,HOTUSDT,0.002149,0.00223,0.00194,0.001952,4591587516.0,9548254.588781,43592
1681862400000,2023-04-19,HOTUSDT,0.002189,0.0023,0.001974,0.00215,7472119443.0,15930518.007626,85786
1681776000000,2023-04-18,HOTUSDT,0.002147,0.002215,0.002102,0.00219,1676606641.0,3638840.989463,22091
1681689600000,2023-04-17,HOTUSDT,0.002157,0.00225,0.00208,0.002148,3320190031.0,7183235.853927,37822
